;0
24;"Escrima bzw. Kali ist eine Kampfkunst mit und ohne Waffen, die von den Philippinen stammt. Du erlernst den Umgang mit – und die Verteidigung gegen – Waffen wie Messer,Stock etc. und anschließend die Übertragung auf Alltagsgegenstände wie Kugelschreiber, Regenschirm, Buch,Handy usw. So lernst du, dich unabhängig von deinerkörperlichen Konstitution und Stärke im Notfalleffektiv zu schützen. Dieser Kurs ist gerade auch für Frauengeeignet, da durch den Einsatz von Gegenständen zumZwecke der Verteidigung, körperliche Größe und Kraftkeine Rolle spielen.Escrima/Kali ist nicht nur effektiv, es macht auch jedeMenge Spaß.Der Einstieg ist nur in den ersten zwei Wochen möglich.Alle Informationen zum Thema Ausrüstung etc. werden während des Kurses bekannt gegeben. Wir bitten darum, von E-Mails und Anrufen an das „Material Instinct Center“ bezüglich der oben genannten Informationen abzusehen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Hier noch ein kleiner visueller Vorgeschmack:Klick!TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleFreitag19:0020:00Martial Instinct Center (Deutz-Kalker-Str. 124)nur Vorlesungszeithttps://anmeld…"
25;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Dieser Tagesworkshop ist für Frauen gedacht, die neugierig sind, die Grundprinzipien der Selbstverteidigung kennenzulernen. Es werden konkrete Handlungsmöglichkeiten für alltagsnahe Situationen trainiert, die helfen, sich stärker und sicherer zu fühlen.„Wie kann ich mich im Alltag besser durchsetzen, meine Meinung vertreten, auch einmal „NEIN“ sagen?“„Wie kann ich für meine Sicherheit sorgen, wenn ich unterwegs bin?“„Wie kann ich mich notfalls körperlich wehren?“Begrenzte Teilnehmerinnenzahl.Anmeldung:Kaution:Termin:Ort:Humanwissenschaftliche Fakultät
26;"Das Einsteigen in den Kurs ist nur in den ersten 3 Wochen möglich.Bruce Lee, wer kennt ihn nicht!? Er ist „the King of Kung Fu“. Aber die wenigsten kennen den von ihm in Amerika entwickelten und hier sehr seltenen, effektiven und modernen Kampfstil Jeet Kune Do – eine moderne Mischung aus verschiedenen Kampfkünsten. Für seine Techniken gelten folgende Prinzipien: Einfachheit, Direktheit und Effektivität. Das Training ist nicht nur für den Ernstfall sehr nützlich, es macht auch eine Menge Spaß und hält sowohl körperlich als auch geistig fit. Durch den Verzicht auf körperliche Kraft und das Borgen der gegnerischen Energie ist diese Kampfkunst auch geradezu ideal für Frauen. Komm einfach vorbei und mach mit!Der Einstieg ist nur in den ersten zwei Kurswochen möglich.Beiregelmäßiger Teilnahme ist das Anschaffen einer Schutzausrüstung ratsam.Alle Informationen zum Thema Ausrüstung etc. werden während des Kurses bekannt gegeben. Wir bitten darum, von E-Mails und Anrufen an das „Material Instinct Center“ bezüglich der oben genannten Informationen abzusehen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Hier noch ein kleiner visueller Vorgeschmack:Klick!TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleFreitag20:0021:30Martial Instinct Center (Deutz-Kalker-Str. 124)nur VorlesungszeitBeginn: 15.10.21https://anmeld…"
27;"Judo präsentiert sich äußerst facettenreich: als Kampfsportart des „sanften Weges“, als moderne Selbstverteidigungsvariante mit hoher motorischer Profilierung,ebenso als attraktive Wettkampfdisziplin mit großemSpannungspotential. Sehr schnell werdet ihr lernen,mit geschickt angewandten Techniken und ökonomischemKrafteinsatz so manchen Gegner aufs Kreuz zu legen.Passende Kursangebote gibt es für alle Fähigkeitsstufen.Die Teilnehmerzahl ist begrenzt.Montag 19-20:30 Uhr: judospezifisches Zirkel- und Krafttraining mit Benjamin (normale Sportklamotten)Mittwoch 19- 21:00 Uhr: Technik- und Kampftraining von Anfänger*innen bis Fortgeschrittene mit Sarah (wenn möglich mit Judoanzug).Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!_______________2G+ Nachweispflicht ab sofortBitte bring zum Kurs deinenStudierendenausweis(+falls darauf kein Bild vorhanden ist, einen weiterenLichtbildausweis) + denfolgenden Nachweismit:1.) 2G + Test2G:Du bistgeimpft odergenesenPlustagesaktueller Test.(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).2.) Befreiung von der Testpflicht:Du bist befreit vom tagesaktuellen Test, wenn du:Alledrei Impfungenhast(„geboostert“)Oderinnerhalb derletzten drei Monatevon einer Infektiongenesenbist.________________ACHTUNG: BITTE KOMMT CA. 10 MIN VOR KURSBEGINN!WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag19:0020:30World Gym CologneVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Mittwoch19:0021:00World Gym CologneVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
28;"Traditionelles Karate, das über Wettkampfzielen steht.Shotokan-Karate im traditionellen Sinn besteht aus einer Symbiose von Grundschule (Kihon), Formenlauf (Kata) und Freikampf (Kumite).Es geht dabei nicht um das Zertrümmern von Brettern, Ziegeln oder sonstigen wehrlosen Gegenständen, auch nicht um spektakuläre Tritte, sondern um eine effiziente Kampfkunst mit Tradition. Das heißt, es werden ebenso Selbstverteidigungsanwendungen wie auch einige wettkampfrelevante Formen trainiert.Anfänger wie auch Fortgeschrittene sind eingeladen mitzumachen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online; sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag20:3022:00Im Perlengraben 101Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
29;"Aus dem Karate stammend entwickelte sich Kickboxen in den USA. Seine Einflüsse kommen aus den Bereichen der folgenden Kampfkünste: Boxen, Karate und Tae-Kwon-Do. Richtig angewendet handelt es sich hier um ein Ganzkörper-Fitness-Training, nicht nur eins für Arme und Beine. In diesem Kurs sollen die Grundbewegungen und Grundtechniken des Kampfes erlernt werden.Kickboxen ist eine wunderbarere Sportart um dem Alltag zu entfliehen und einzutauchen in eine andere Welt. Eine Welt voller Herausforderungen, Kampfgeist, Technik, Skills, Cleverness und Selbsterkenntnis.Die Kurse am Dienstag und Donnerstag sind einzusammenhängender Kurs.Die ersten 2 Trainingseinheiten dienen als Probeeinheitzum rein schnuppern.Trainiert wird in einer Atmosphäre, die geprägt ist von gegenseitigem Respekt und dem Grundsatz, dass der Trainingspartner ein Partner ist und kein Gegner. Um Verletzungen vorzubeugen wird bei uns mit einem Mindestmaß an Schutz trainiert ohne dabei dem Wesen der Sportarten zu schaden.Bei regelmäßiger Teilnahme ist eine entsprechendeAusrüstung unbedingt erforderlich.Der Kurs ist sowohl fürAnfängerals auch fürFortgeschrittenegeeignet.Alle Informationen zu diesem und weiteren Themen werden während des Kurses bekannt gegeben. Wir bitten darum, von E-Mails und Anrufen an das „Material Instinct Center“ bezüglich der oben genannten Informationen abzusehen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 15 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Hier noch ein kleiner visueller Vorgeschmack:Klick!TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag20:0021:30Martial Instinct Center (Deutz-Kalker-Str. 124)Vorlesungszeit und vorlesungsfreie ZeitBeginn: ab dem 08.02.22https://anmeld…Donnerstag20:0021:30Martial Instinct Center (Deutz-Kalker-Str. 124)Vorlesungszeit und vorlesungsfreie ZeitBeginn: 10.02.22https://anmeld…"
30;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.KuTaeKa-Do ist eine spektakuläre Synthese aus Shaolin Kung Fu, Tae Kwon Do und Karate.Die dynamischen Tritte des Tae Kwon Do, die blitzschnellen, direkten Handtechniken des Karate und die Geschmeidigkeit des Kung Fu:KuTaeKa-Do vereinigt die Grundprinzipien dieser drei traditionellen Kampfstile zu einem außergewöhnlichen, realitätsnahen Kampfsystem. Dazu kommen noch Einflüsse aus dem chinesisches Kickboxen.Das Training von KuTaeKa-Do verbessert Fitness und kämpferische Fähigkeiten, es stärkt Gesundheit und Selbstvertrauen, es bringt innere Ruhe, Ausgeglichenheit und Sicherheit im Alltag.Die klassischen Formen des KuTaeKa-Do aktivieren das Qi (innere Energie), das in jedem Menschen wohnt.Die Philosophie des KuTaeKa-Do vereinigt die essentiellen Lehren aller wichtigen spirituellen Traditionen wie z.B. Daoismus, Zen-Buddhismus, Yoga, Sufismus in sich.
31;"Diese alte japanische Kampfkunst zeichnet sich ausdurch geschmeidige und entspannte Bewegungen. Zieldes Trainings ist das Erlernen der Selbstverteidigung mitund ohne Waffen, die psychologische Schulung, die Verbesserung von Kondition, Flexibilität, physischer Stärke, Durchsetzungsvermögen, Körperbeherrschung und Geschmeidigkeit.Aufgrund der aktuellen Situation müssen hygienische Anweisung vonseiten des Trainers befolgt werden.mehrInfos2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleFreitag20:3022:00Gilbachstraße 22Vorlesungszeit und vorlesungsfreie ZeitBeginn: ab 29.10.2021https://anmeld…"
32;"Shintaido verbindet die Philosophie fernöstlicher Kampfkunstdisziplinen mit Ideen westlicher Selbstentfaltung. Bojutsu ist die japanische Form des Stockkampfes: das Bo – ein langer, schwerer Hartholzstab – verstärkt das Empfinden von Größe und Weite der Bewegungen im Gegensatz zu Free-Hand-Bewegungen, eine Attacke, Bo gegen Bo, wird von beiden Seiten in ihrer vollen Stärke wahrgenommen. Dabei geht es im Shintaido nicht darum, den Gegner zu besiegen, sondern um die Kooperation mit seinem Partner.Dieser Anfängerkurs führt in grundlegende Bo-Techniken und Partnerübungen, sowie in expressive Shintaido-Elemente ein.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.Hier noch ein kleiner visueller Vorgeschmack:Klick!2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag20:0021:30Euskirchenerstr. 50Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
33;"""Event mit Kick""Taekwondo ist klassische koreanischeSelbstverteidigung von höchster Effizienz. In keinerasiatischen Kampfkunst wurde die Beintechnik in Folge höherer Muskelkraft und größerer Reichweite so präziseweiter entwickelt wie im Taekwondo. Unbewaffnet lassen sich so selbst Angriffe mit Schlag- oder Stichwaffen fast mühelos abwehren.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag19:0020:30Lindenbornstr. 15-19Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
34;"Vitales Aussehen, ausdauernde Kondition, flexibleBeweglichkeit sowie mentale Ausgeglichenheit – all das ermöglichen diese Kurse. Das BOP Power-­Workout istein sehr abwechslungsreiches Training. Durch den Wechsel von Herzkreislauf- und Kräftigungseinheiten steht der Steigerung von Ausdauer, Stabilität, Leistungsfähigkeit und Elastizität des gesamten Körpers nichts mehr im Weg.Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDonnerstag20:1521:45Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
35;"(Bauch, Oberschenkel, Po)Sind eure Problemzonen Po und Hüfte? Möchtet ihreuren Beinmuskeln mehr Schliff geben? Wollt ihr euren Bauch trainieren? Dann seidihr„readytoworkout“. Zwarsind starke Muskeln die beste Diät, weil durch sie derGrundumsatzsteigt, doch denkt daran, dass ihr dieFettpölsterchen nur durch weniger intensives,dafüraber umfangreicheres Trainingschmelzen lassen könnt. Ergo: Das besteFigurtrainingist BOP kombiniert mit Fatburner.Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag19:0020:00Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
36;"Zielgruppe:Dieses Angebot richtet sich an alle Menschen jeden Fitnessniveaus, mit und ohne Vorkenntnisse.Ziele:BOP mit Tube bewirkt schon nach kurzer Zeit spürbare Veränderungen der Ausdauer und kräftigt eure Bauch-, Oberschenkel- und Po-Muskulatur.Besonderheit:Schwierigkeitsstufen kann jede*r für sich mit Hilfe des „kleinsten Fitnessstudios der Welt“, dem Thera-Tube, optimal anpassen.Materialien: Bringt bitte ein Handtuch und saubere Hallenschuhe mit. Tubes werden von uns zur Verfügung gestellt.Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag17:3019:00Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
37;"Zielgruppe: Anfänger und Fortgeschrittene können gleichermaßen mitmachen.Inhalt:Body Workout Classic Bodymix ist eine Mischung aus Herz-Kreislauf-Training und dynamischem Muskeltraining mit dem eigenem Körpergewicht, in dem sich Herz-Kreislauf-, Kräftigungs- und Beweglichkeitsübungen abwechseln. Zu jeder Übung werden unterschiedliche Variationen angeboten, sodass das Training individuell an jedes Leistungsniveau angepasst werden kann.Ablauf: Jede Stunde beginnt mit einem kurzen Aufwärmen. Der 60-minütige Hauptteil gliedert sich in ein Ausdauertraining und einen Bodenteil zur Muskelkräftigung. Das Training endet mit einem Cooldown und Dehnübungen.Ziele: Förderung der Fettverbrennung, Stärkung des Herz-Kreislauf-Systems, Muskelaufbau, Spaß an der Bewegung.Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMittwoch20:1522:00Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
38;"Steigere deine allgemeine Fitness und kräftige die Muskeln von Armen, Beinen, Po und Core! Hierzu erwartet dich nach einem kurzen Aufwärmen ein Training aus 3 Zirkeln mit insgesamt 36 Übungen. 45 Sekunden Belastung wechseln sich dabei mit 15 Sekunden Pause ab. Zum Abschluss belohnst du dich mit einem wohlverdienten Stretching, um die beanspruchten Muskeln wieder zu lockern. Gehe im Zirkel an deine individuelle Grenze, indem du Tempo und/oder Schwierigkeitsgrad deiner Übungen selbst bestimmst! Gemeinsam halten wir durch!Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab sofortBitte bring zum Kurs deinenStudierendenausweis(+falls darauf kein Bild vorhanden ist, einen weiterenLichtbildausweis) + denfolgenden Nachweismit:1.) 2G + Test2G:Du bistgeimpft odergenesenPlustagesaktueller Test.(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).2.) Befreiung von der Testpflicht:Du bist befreit vom tagesaktuellen Test, wenn du:Alledrei Impfungenhast(„geboostert“)Oderinnerhalb derletzten drei Monatevon einer Infektiongenesenbist.________________ACHTUNG: BITTE KOMMT CA. 10 MIN VOR KURSBEGINN!WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag20:1521:45Zülpicher Wall 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
